 Stock Code ,Stock location,,
,,,
 G1345 Blk/Blk/Wht/Charcoal ,1GB12/22 Atlantis Sports Bag,,
 G1345 Blk/Red/Wht/Char ,1GB22/32 Atlantis Sports Bag,,
 G1345 Blk/Royal/Wht/Char ,1GB22 Atlantis Sports Bag,,
 G1345 Maroon/Navy/Wht/Char ,1GB32 Atlantis Sports Bag,,
 G1345 Navy/Red/Wht/Char ,1GB32/42 Atlantis Sports Bag,,
 G1345 Royal/Blk/Wh/Charco ,1GB42 Atlantis Sports Bag,,
 G1348 Black ,1GR11 Ash,,
 G1348 Navy ,1GR11 Ash,,
 G1348 Red ,1GR21 Ash,,
 G1348 Royal ,1GR21 Ash,,
 G1355 Aqua/Black ,1GZ41 Lunar,,
 G1355 Black/Black ,1GZ42  Lunar,,
 G1355 Charcoal/Black ,1GZ42 Lunar,,
 G1355 Navy/Navy ,1GZ52 Lunar,,
 G1355 Red/Black ,1GZ52 Lunar,,
 G1355 Royal/Black ,1GZ41 Lunar,,
 G1359 Black/Red ,1GP41/51 Explorer,,
 G1359 Black/White ,1GQ51 Explorer,,
 G1359 Bottle/Gold ,1GQ41/51 Explorer,,
 G1359 Navy/Gold ,1GP41 Explorer,,
 G1359 Royal/Gold ,1GP51 Explorer,,
 G1365 Black/White ,1GO31 Hurley,,
 G1365 Navy/White ,1GO31 Hurley,,
 G1405 Black ,1GZ11 Sports Bag,,
 G1405 Natural ,1GZ21 Sports Bag,,
 G1405 Red ,1GZ11 Sports Bag,,
 G1433 Black ,1GF31 Sennet Slingpack,,
 G1433 Bottle/Gold ,1GF41 Sennet Slingpack,,
 G1433 Red/Black ,1GF41 Sennet Slingpack,,
 G1433 Royal/Black ,1GF31 Sennet Slingpack,,
 G1478 Black ,1GZ12 Slingpack,,
 G1478 Navy ,1GZ12 Slingpack,,
 G1478 Red ,1GZ12 Slingpack,,
 G1478 Royal ,1GZ12 Slingpack,,
 G1484 Black/White/Red ,1GAA12 Backpack,,
 G1484 Black/White/Royal ,1GAA12 Backpack,,
 G1485 Black/White/Red ,1GAA22 Slingpack,,
 G1485 Black/White/Royal ,1GAA22 Slingpack,,
 G1490 Black ,1GU32 Traveller,,
 G1490 Red ,1GU32 Traveller,,
 G1490 Sky ,1GU32 Traveller,,
 G1602 Black/White/Black ,1GE22 Precinct Backpack,,
 G1602 Gold/White/Bottle ,1GE12  Precinct Backpack,,
 G1602 Red/White/Black ,1GE32 Precinct Backpack,,
 G1602 Royal/Grey/Black ,1GE22 Precinct Backpack,,
 G1602 Sky/White/Navy ,1GE32 Precinct Backpack,,
 G1616 Grey/Steel ,1GF11 Roll Sports Bag,,
 G1616 Khaki/Black ,1GF21Roll Sports Bag,,
 G1616 Pink/Hot Pink ,1GF11 Roll Sports Bag,,
 G1750 Black/White/Red ,1GF22 Tri-Colour Sports Bag,,
 G1750 Bottle/White/Yellow ,1GF12 Tri-Colour Sports Bag,,
 G1750 Navy/White/Red ,1GF42 Tri-Colour Sports Bag,,
 G1750 Royal/White/Black ,1GF52 Tri-Colour Sports Bag,,
 G1750 Yellow/White/Black ,1GF32 Tri-Colour Sports Bag,,
 G1800 Black/Grey ,1GF51 Deluxe Sports Bag,,
 G1800 Navy/Grey ,1GF51 Deluxe Sports Bag,,
 G1862 Black/Red ,1GW12,,
 G1862 Black/White ,1GW52,,
 G1862 Bottle/Gold ,1GW32,,
 G1862 Navy/White ,1GW42,,
 G1862 Red/Black ,1GW42/52,,
 G1862 Royal/White ,1GW22,,
 G2000 Black ,1GE52 Large Sports Bag,,
 G2000 Navy ,1GE52 Large Sports Bag,,
 G2000 Red/Black ,1GE42 Large Sports Bag,,
 G2000 Royal/Black ,1GE42 Large Sports Bag,,
 G2002 Black ,1GX32 Trolley Travel Bag,,
 G2004 Black/Black ,1GQ11/21 Freedom,,
 G2004 Royal/black ,1GQ11 Freedom,,
 G2007 CHARCOAL/BLACK ,1GBB21  plain bags,,
 G2007 SLATE GREY/BLACK ,1GBB21 plain bags,,
 G2011 Black ,1GB52 Sumo,,
 G2012 Black/Grey ,1GW51 Coach,,
 G2012 Black/Red ,1GW41/51 Coach,,
 G2012 Black/Royal ,1GW51 Coach,,
 G2013 Black ,1GT21 Carerra,,
 G2069 Black ,1GX31 Business Carry Bag,,
 G2069 Navy ,1GX31 Business Carry Bag,,
 G2130 Black/Grey ,1GP32 Transit Backpack,,
 G2130 Navy/Grey ,1GP42 Transit Backpack,,
 G2134 Black/White/Gold ,1GQ42/52 Harvey Backpack,,
 G2134 Black/White/Red ,1GQ42 Harvey Backpack,,
